poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
1;213025.4489;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
2;227855.2975;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
3;210740.0552;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
4;420918.4228;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
5;304250.8164;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
6;170807.4759;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
7;420918.4228;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
8;304250.8164;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
9;201918.6823;4;Estructura metálica;Apartamento;Kennedy;67;2;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
10;225552.7205;4;Estructura metálica;Apartamento;Kennedy;75;2;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
11;254373.0363;4;Industrializado - Manoportable;Apartamento;Kennedy;59;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
12;261207.9026;4;Industrializado - Manoportable;Apartamento;Kennedy;84;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
13;158164.6679;4;Industrializado - Manoportable;Apartamento;Kennedy;50;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
14;326124.1837;4;Industrializado - Manoportable;Apartamento;Kennedy;74;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
15;239788.4002;4;Industrializado - Manoportable;Apartamento;Kennedy;76;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
16;330082.7853;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
17;238592.448;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
18;1402795.227;6;Tradicional aporticado;Apartamento;Usaquen;108;2;4;Cimentaciones - Estructura metálica;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Madera;Madecor
19;1001609.901;4;Mamposteria estructural;Casa;Suba;181;3;4;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Otro
20;229921.7952;4;Mamposteria estructural;Apartamento;Engativá;81;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
21;528909.8253;4;Mamposteria estructural;Apartamento;Engativá;140;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
22;200022.9922;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
23;342341.2945;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
24;221251.1423;4;Estructura metálica;Apartamento;Kennedy;61;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
25;251149.9453;4;Estructura metálica;Apartamento;Kennedy;67;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
26;272079.1074;4;Estructura metálica;Apartamento;Kennedy;75;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
27;200022.9922;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
28;427253.8951;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
29;334866.5937;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
30;505478.029;4;Industrializado - Outinord;Apartamento;Usaquen;101;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Alfombra;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
31;605988.6524;4;Industrializado - Manoportable;Apartamento;Fontibón;106;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
32;520667.6305;4;Industrializado - Manoportable;Apartamento;Fontibón;91;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
33;474500.5485;4;Industrializado - Manoportable;Apartamento;Fontibón;83;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
34;346527.1269;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
35;412259.6453;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
36;209291.6211;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
37;412259.6453;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
38;328886.8331;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
39;432889.8194;4;Mamposteria estructural;Apartamento;Engativá;115;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
40;346527.1269;4;Mamposteria estructural;Apartamento;Engativá;81;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
41;339010.5678;4;Mamposteria estructural;Apartamento;Engativá;89;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
42;342347.6919;4;Industrializado - Outinord;Apartamento;Suba;58;2;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
43;392204.1519;4;Industrializado - Outinord;Apartamento;Suba;67;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
